Linux 5.15.0-100-generic (dev-os) 	03/10/24 	_x86_64_	(4 CPU)

12:07:22        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:07:23        all     73.76      0.00      1.49      0.00      0.00     24.75
12:07:24        all     73.71      0.00      1.97      0.00      0.00     24.32
12:07:25        all     73.89      0.00      1.48      0.00      0.00     24.63
12:07:26        all     73.89      0.00      1.48      0.25      0.00     24.38
12:07:27        all     73.89      0.00      1.72      0.00      0.00     24.38
12:07:28        all     73.89      0.00      1.23      0.25      0.00     24.63
12:07:29        all     74.26      0.00      1.24      0.00      0.00     24.50
12:07:30        all     74.44      0.00      0.74      0.00      0.00     24.81
12:07:31        all     74.44      0.00      0.99      0.00      0.00     24.57
12:07:32        all     74.50      0.00      0.74      0.00      0.00     24.75
12:07:33        all     73.83      0.00      1.48      0.00      0.00     24.69
12:07:34        all     73.53      0.00      1.96      0.00      0.00     24.51
12:07:35        all     74.19      0.00      1.24      0.00      0.00     24.57
12:07:36        all     73.96      0.00      1.47      0.00      0.00     24.57
12:07:37        all     73.96      0.00      1.47      0.00      0.00     24.57
12:07:38        all     74.07      0.00      1.23      0.00      0.00     24.69
12:07:39        all     74.26      0.00      1.24      0.00      0.00     24.50
12:07:40        all     74.02      0.00      1.72      0.00      0.00     24.26
12:07:41        all     74.07      0.00      1.23      0.00      0.00     24.69
12:07:42        all     73.89      0.00      1.48      0.00      0.00     24.63
Average:        all     74.02      0.00      1.38      0.02      0.00     24.57
