Linux 5.15.0-100-generic (dev-os) 	03/10/24 	_x86_64_	(4 CPU)

12:07:56        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:07:57        all     99.50      0.00      0.25      0.00      0.00      0.25
12:07:58        all    100.00      0.00      0.00      0.00      0.00      0.00
12:07:59        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:00        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:01        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:02        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:03        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:04        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:05        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:06        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:07        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:08        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:09        all     99.00      0.00      1.00      0.00      0.00      0.00
12:08:10        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:11        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:12        all     99.75      0.00      0.25      0.00      0.00      0.00
12:08:13        all     99.75      0.00      0.25      0.00      0.00      0.00
12:08:14        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:15        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:16        all    100.00      0.00      0.00      0.00      0.00      0.00
Average:        all     99.90      0.00      0.09      0.00      0.00      0.01
