Linux 5.15.0-100-generic (dev-os) 	03/10/24 	_x86_64_	(4 CPU)

12:05:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:05:18        all     24.75      0.00      0.74      0.25      0.00     74.26
12:05:19        all     25.00      0.00      0.75      0.00      0.00     74.25
12:05:20        all     25.00      0.00      0.00      0.00      0.00     75.00
12:05:21        all     24.94      0.00      0.25      0.00      0.00     74.81
12:05:22        all     24.75      0.00      0.99      0.00      0.00     74.26
12:05:23        all     25.06      0.00      0.00      0.00      0.00     74.94
12:05:24        all     25.06      0.00      0.00      0.00      0.00     74.94
12:05:25        all     25.00      0.00      0.00      0.00      0.00     75.00
12:05:26        all     25.00      0.00      0.00      0.00      0.00     75.00
12:05:27        all     25.06      0.00      0.00      0.00      0.00     74.94
12:05:28        all     25.00      0.00      0.25      0.00      0.00     74.75
12:05:29        all     24.94      0.00      0.25      0.00      0.00     74.81
12:05:30        all     25.00      0.00      0.00      0.00      0.00     75.00
12:05:31        all     25.00      0.00      0.00      0.00      0.00     75.00
12:05:32        all     24.94      0.00      0.25      0.00      0.00     74.81
12:05:33        all     25.00      0.00      0.25      0.00      0.00     74.75
12:05:34        all     24.94      0.00      0.25      0.00      0.00     74.81
12:05:35        all     24.88      0.00      0.50      0.00      0.00     74.63
12:05:36        all     25.00      0.00      0.00      0.00      0.00     75.00
12:05:37        all     25.00      0.00      0.25      0.00      0.00     74.75
Average:        all     24.97      0.00      0.24      0.01      0.00     74.78
