Linux 5.15.0-100-generic (dev-os) 	03/10/24 	_x86_64_	(4 CPU)

12:05:55        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:05:56        all     49.75      0.00      0.74      0.00      0.00     49.50
12:05:57        all     49.63      0.00      0.99      0.00      0.00     49.38
12:05:58        all     49.50      0.00      0.99      0.00      0.00     49.50
12:05:59        all     49.26      0.00      1.72      0.00      0.00     49.01
12:06:00        all     49.26      0.00      1.48      0.00      0.00     49.26
12:06:01        all     48.90      0.00      1.96      0.24      0.00     48.90
12:06:02        all     49.26      0.00      1.72      0.00      0.00     49.01
12:06:03        all     49.26      0.00      1.48      0.00      0.00     49.26
12:06:04        all     49.14      0.00      1.72      0.00      0.00     49.14
12:06:05        all     49.26      0.00      1.72      0.00      0.00     49.01
12:06:06        all     48.90      0.00      2.20      0.00      0.00     48.90
12:06:07        all     49.14      0.00      1.72      0.00      0.00     49.14
12:06:08        all     49.50      0.00      1.24      0.00      0.00     49.26
12:06:09        all     49.38      0.00      1.23      0.00      0.00     49.38
12:06:10        all     49.50      0.00      0.99      0.25      0.00     49.26
12:06:11        all     49.63      0.00      0.99      0.00      0.00     49.38
12:06:12        all     49.26      0.00      1.48      0.00      0.00     49.26
12:06:13        all     49.50      0.00      0.74      0.00      0.00     49.75
12:06:14        all     49.50      0.00      1.24      0.00      0.00     49.26
12:06:15        all     49.50      0.00      0.75      0.00      0.00     49.75
Average:        all     49.35      0.00      1.36      0.02      0.00     49.27
