Linux 5.15.0-100-generic (dev-os) 	03/10/24 	_x86_64_	(4 CPU)

12:08:34        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:08:35        all     99.75      0.00      0.25      0.00      0.00      0.00
12:08:36        all     99.75      0.00      0.25      0.00      0.00      0.00
12:08:37        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:38        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:39        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:40        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:41        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:42        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:43        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:44        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:45        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:46        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:47        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:48        all     99.75      0.00      0.25      0.00      0.00      0.00
12:08:49        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:50        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:51        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:52        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:53        all    100.00      0.00      0.00      0.00      0.00      0.00
12:08:54        all    100.00      0.00      0.00      0.00      0.00      0.00
Average:        all     99.96      0.00      0.04      0.00      0.00      0.00
